"country","tested","confirmed","confirmed.tested.ratio","tested.population.ratio","confirmed.population.ratio","NA","NA","NA"
"Albania",NA,428654,NA,NA,22.6,"15.0","3.4","[2]"
"Algeria",NA,230553,NA,NA,25.4,"0.53","0.13","[3][4]"
"Andorra",NA,300307,NA,NA,12.6,"387","49.0","[5]"
"Angola",NA,399228,NA,NA,5.3,"1.3","0.067","[6]"
"Antigua and Barbuda",NA,15268,NA,832,5.4,"15.9","0.86","[7]"
"Argentina",NA,35716069,NA,NA,25.4,"78.3","20.0","[8]"
"Armenia",NA,3099602,NA,NA,13.6,"105","14.3","[9]"
"Australia",NA,78548492,NA,NA,12.9,"313","40.3","[10]"
"Austria",NA,205817752,NA,NA,2.8,"2,312","65.0","[11]"
"Azerbaijan",NA,6838458,NA,NA,11.6,"69.1","8.0","[12]"
"Bahamas",NA,259366,NA,NA,14.5,"67.3","9.7","[13]"
"Bahrain",NA,10578766,NA,NA,6.6,"674","44.4","[14]"
"Bangladesh",NA,7417714,NA,NA,15.5,"4.5","0.70","[15]"
"Barbados",NA,770100,NA,NA,13.4,"268","35.9","[16]"
"Belarus",NA,13217569,NA,NA,7.4,"139","10.4","[17]"
"Belgium",NA,36548544,NA,NA,12.8,"317","40.7","[18]"
"Belize",NA,572900,NA,NA,10.6,"140","14.9","[19][20]"
"Benin",NA,595112,NA,NA,1.3,"5.1","0.067","[21]"
"Bhutan",NA,1736168,NA,NA,0.73,"234","1.71","[22]"
"Bolivia",NA,4358669,NA,NA,20.9,"38.1","8.0","[23]"
"Bosnia and Herzegovina",NA,1872934,NA,NA,21.4,"54.7","11.7","[24]"
"Botswana",NA,2026898,NA,NA,11.5,"89.9","10.3","[25][26]"
"Brazil",NA,23561497,NA,NA,42.8,"11.2","4.8","[27][28]"
"Brunei",NA,153804,NA,338,0.22,"33.5","0.074","[29]"
"Bulgaria",NA,10993239,NA,NA,11.8,"158","18.6","[30]"
"Burkina Faso",NA,158777,NA,NA,7.6,"0.76","0.058","[3][31]"
"Burundi",NA,90019,NA,884,0.98,"0.76","0.0074","[32]"
"Cambodia",NA,1812706,NA,NA,4.3,"11.2","0.48","[33]"
"Cameroon",NA,942685,NA,NA,3.5,"3.6","0.12","[3]"
"Canada",NA,66343123,NA,NA,6.7,"175","11.7","[34]"
"Chad",NA,99027,NA,NA,4.1,"0.72","0.029","[3][35]"
"Chile",NA,48154268,NA,NA,10.6,"252","26.9","[36]"
"China[c]",NA,1.6e+08,NA,NA,0.055,"11.1","0.0061","[37][38]"
"Colombia",NA,36875818,NA,NA,17.1,"76.4","13.1","[39][40]"
"Costa Rica",NA,2575363,NA,NA,21.8,"51.5","11.2","[41]"
"Croatia",NA,5481285,NA,NA,23.1,"134","31.1","[42]"
"Cuba",NA,14301394,NA,NA,7.8,"126","9.8","[43][44]"
"Cyprus[d]",NA,27820163,NA,NA,2.3,"3,223","74.4","[45]"
"Czechia",NA,22544928,NA,NA,20.4,"211","42.9","[46]"
"Denmark[e]",NA,67682707,NA,NA,5,"1,162","58.4","[47][48]"
"Djibouti",NA,305941,NA,NA,5.1,"33.2","1.7","[49]"
"Dominica",NA,209803,NA,NA,7.1,"293","20.7","[50]"
"Dominican Republic",NA,3574665,NA,NA,17.5,"32.9","5.8","[51]"
"DR Congo",NA,124838,NA,NA,20.8,"0.14","0.029","[3][52]"
"Ecuador",NA,1627189,NA,NA,29.5,"9.5","2.8","[53]"
"Egypt",NA,3137519,NA,NA,9.1,"3.1","0.28","[3][54]"
"El Salvador",NA,1847861,NA,NA,8.7,"28.5","2.5","[55]"
"Equatorial Guinea",NA,403773,NA,NA,4.2,"30.8","1.3","[56]"
"Estonia",NA,3637908,NA,NA,16.9,"274","46.2","[57]"
"Eswatini",NA,415110,NA,NA,11.9,"36.5","4.3","[58]"
"Ethiopia",NA,2981185,NA,NA,9.3,"2.6","0.24","[59]"
"Faroe Islands",NA,774000,NA,NA,4.4,"1,493","65.7","[60]"
"Fiji",NA,667953,NA,NA,10.3,"74.5","7.7","[61]"
"Finland",NA,9042453,NA,NA,4.1,"163","6.7","[62]"
"France[f][g]",NA,272417258,NA,NA,10.7,"417","44.7","[63]"
"Gabon",NA,958807,NA,NA,2.6,"3.1","0.082","[64]"
"Gambia",NA,43217,NA,NA,10.3,"2.0","0.21","[65]"
"Georgia[h]",NA,4888787,NA,NA,15,"132","19.7","[66]"
"Germany",NA,65247345,NA,NA,5.7,"77.8","4.5","[67][68]"
"Ghana",NA,1305749,NA,NA,7.4,"4.2","0.31","[69]"
"Greece",NA,101576831,NA,NA,5.5,"943","51.5","[70]"
"Greenland",NA,164573,NA,NA,6.5,"293","19.0","[71]"
"Grenada",NA,28684,NA,161,0.56,"25.7","0.14","[72]"
"Guatemala",NA,6800560,NA,NA,18.1,"39.4","7.1","[73]"
"Guinea",NA,494898,NA,NA,5,"3.8","0.19","[3][74]"
"Guinea-Bissau",NA,145231,NA,NA,5.8,"7.7","0.45","[75]"
"Guyana",NA,648569,NA,NA,10.2,"82.5","8.4","[76]"
"Haiti",NA,223475,NA,NA,15.2,"2.0","0.30","[77]"
"Honduras",NA,1133782,NA,NA,33.3,"11.8","3.9","[78]"
"Hungary",NA,11394556,NA,NA,16.8,"118","19.8","[79]"
"Iceland",NA,1988652,NA,NA,10.2,"546","55.8","[80]"
"India",NA,866177937,NA,NA,5,"63","31.7","[81][82]"
"Indonesia",NA,76062770,NA,NA,9,"28.2","2.5",""
"Iran",NA,52269202,NA,NA,13.8,"62.8","8.7","[83]"
"Iraq",NA,19090652,NA,NA,12.8,"47.5","6.1","[84]"
"Ireland",NA,12990476,NA,NA,13.1,"264","34.6","[85]"
"Israel",NA,41373364,NA,NA,4.3,"451","19.5","[86]"
"Italy",NA,269127054,NA,NA,9.5,"446","42.5","[87]"
"Ivory Coast",NA,429177,NA,NA,7.8,"1.6","0.13","[88]"
"Jamaica",NA,1184973,NA,NA,12.8,"43.5","5.6","[89]"
"Japan",NA,8487288,NA,NA,5.1,"6.7","0.34","[90]"
"Jordan",NA,7407053,NA,NA,10,"69.5","6.9","[91]"
"Kazakhstan",NA,11575012,NA,NA,3.3,"62.1","2.1","[92]"
"Kenya",NA,1322806,NA,NA,8.1,"2.8","0.23","[93]"
"Kosovo",NA,611357,NA,NA,17.6,"33.8","5.9","[94]"
"Kuwait",NA,7754247,NA,NA,8.1,"181","14.6","[95]"
"Kyrgyzstan",NA,695415,NA,NA,12.3,"10.7","1.3","[96]"
"Laos",NA,114030,NA,45,0.039,"1.6","0.00063","[97]"
"Latvia",NA,3630095,NA,NA,4,"189","7.5","[98]"
"Lebanon",NA,4599186,NA,NA,11.8,"67.4","8.0","[99]"
"Lesotho",NA,431221,NA,NA,7.6,"21.5","1.6","[100]"
"Liberia",NA,128246,NA,NA,4.2,"2.5","0.11","[101]"
"Libya",NA,2578215,NA,NA,19.5,"37.6","7.3","[3][102]"
"Lithuania",NA,9046584,NA,NA,12.9,"324","41.9","[103][104]"
"Luxembourg[i]",NA,4248188,NA,NA,5.7,"679","39.0","[105]"
"Madagascar",NA,119608,NA,NA,16.6,"0.46","0.076","[106]"
"Malawi",NA,624784,NA,NA,14.1,"3.3","0.46","[107]"
"Malaysia",NA,23705425,NA,NA,7.9,"72.3","5.7","[108]"
"Maldives",NA,2216560,NA,NA,7.9,"398","31.3","[109][110]"
"Mali",NA,322504,NA,NA,4.5,"1.6","0.071","[3][111]"
"Malta",NA,1211456,NA,NA,3,"245","7.4","[112]"
"Mauritania",NA,268093,NA,NA,6.8,"6.1","0.41","[113]"
"Mauritius",NA,289552,NA,494,0.17,"22.9","0.039","[114]"
"Mexico",NA,10503678,NA,NA,35.7,"8.2","2.9","[115]"
"Moldova[j]",NA,3213594,NA,NA,16.1,"122","19.6","[116]"
"Mongolia",NA,3354200,NA,NA,4.1,"100","4.1","[117]"
"Montenegro",NA,394388,NA,NA,25,"62.5","15.6","[118][119]"
"Morocco",NA,14217563,NA,NA,8.9,"38.5","3.4","[120]"
"Mozambique",NA,688570,NA,NA,15.4,"2.2","0.34","[121]"
"Myanmar",NA,4047680,NA,NA,10.9,"7.4","0.81","[122]"
"Namibia",NA,1062663,NA,NA,15.6,"38.7","6.1","[123]"
"Nepal",NA,5804358,NA,NA,17,"20.7","3.5","[124]"
"Netherlands",NA,14526293,NA,NA,11.7,"83.4","9.7","[125]"
"New Caledonia",NA,41962,NA,136,0.32,"15.7","0.050","[126]"
"New Zealand",NA,7757935,NA,NA,27.5,"156","42.9","[127][128]"
"Niger",NA,79321,NA,NA,6,"0.35","0.021","[129]"
"Nigeria",NA,1544008,NA,NA,10.1,"0.75","0.076","[130]"
"North Korea",NA,16914,NA,0,0,"0.066","0","[131]"
"North Macedonia",NA,881870,NA,NA,17.7,"42.5","7.5","[132][133]"
"Northern Cyprus[k]",NA,7096998,NA,NA,1.5,"2,177","31.6","[134]"
"Norway",NA,9811888,NA,NA,5.7,"183","10.3","[135]"
"Oman",NA,509959,NA,NA,22.4,"11.0","2.5","[136]"
"Pakistan",NA,9173593,NA,NA,6.4,"4.2","0.27","[137]"
"Palestine",NA,3078533,NA,NA,18.6,"60.9","11.4","[138]"
"Panama",NA,7475016,NA,NA,13.8,"179","24.7","[139]"
"Papua New Guinea",NA,47490,NA,961,2,"0.53","0.011","[140]"
"Paraguay",NA,2609819,NA,NA,24.8,"36.6","9.1","[141]"
"Peru",NA,36073768,NA,NA,11.6,"109.9","12.7","[142]"
"Philippines",NA,34402980,NA,NA,11.8,"34.1","4.0","[143][144]"
"Poland",NA,36064311,NA,NA,16.6,"94.0","15.6","[145]"
"Portugal",NA,27515490,NA,NA,5.5,"268","14.6","[146]"
"Qatar",NA,4061988,NA,NA,11.7,"141","16.4","[147]"
"Romania",NA,5405393,NA,NA,13.4,"27.9","3.7","[148]"
"Russia",NA,295542733,NA,NA,6.2,"201","12.5","[149][150]"
"Rwanda",NA,2885812,NA,NA,3.4,"22.3","0.76","[151]"
"Saint Kitts and Nevis",NA,30231,NA,995,3.3,"57.6","1.9","[152]"
"Saint Lucia",NA,212132,NA,NA,13.9,"116.6","16.2","[153]"
"Saint Vincent",NA,113504,NA,NA,8.4,"103.0","8.7","[154]"
"San Marino",NA,192613,NA,NA,12.2,"563","68.4","[155]"
"Saudi Arabia",NA,41849069,NA,NA,1.8,"120","2.2","[156]"
"Senegal",NA,624502,NA,NA,7.4,"3.9","0.29","[157]"
"Serbia",NA,12185475,NA,NA,20.3,"175","35.5","[158]"
"Singapore",NA,16206203,NA,NA,0.4,"284","1.1","[159][160]"
"Slovakia",NA,7391882,NA,NA,25.2,"135","34.1","[161]"
"Slovenia",NA,2826117,NA,NA,46.8,"135","63.1","[162]"
"South Africa",NA,11378282,NA,NA,14.4,"19.2","2.8","[163][164]"
"South Korea",NA,6592010,NA,NA,1.4,"12.7","0.17","[165]"
"South Sudan",NA,164472,NA,NA,6.5,"1.3","0.084","[166]"
"Spain",NA,54128524,NA,NA,7.1,"116","8.2","[167][168]"
"Sri Lanka",NA,2384745,NA,NA,3.9,"10.9","0.43","[169][170]"
"Sudan",NA,158804,NA,NA,14.7,"0.36","0.053","[3]"
"Sweden",NA,9996795,NA,NA,10.8,"96.8","10.4","[171][172]"
"Switzerland[l]",NA,23283909,NA,NA,18.4,"270","49.7","[173]"
"Taiwan[m]",NA,30275725,NA,NA,28.48,"128.3","36.528","[174]"
"Tanzania",NA,3880,NA,509,13.1,"0.0065","0.00085","[3]"
"Thailand",NA,1579597,NA,NA,1.7,"2.3","0.038","[175]"
"Togo",NA,807269,NA,NA,4.9,"9.4","0.46","[176]"
"Trinidad and Tobago",NA,512730,NA,NA,18.1,"37.6","6.8","[177]"
"Tunisia",NA,2893625,NA,NA,24.3,"24.5","6.0","[178]"
"Turkey",NA,61236294,NA,NA,8.9,"73.6","6.5","[179]"
"Uganda",NA,852444,NA,NA,4.7,"1.9","0.087","[180]"
"Ukraine",NA,15648456,NA,NA,21.5,"37.2","8.0","[181]"
"United Arab Emirates",NA,198685717,NA,NA,0.53,"2,070","10.9","[182]"
"United Kingdom",NA,522526476,NA,NA,4.3,"774","32.9","[183]"
"United States",NA,929349291,NA,NA,9.8,"281","27.4","[184][185]"
"Uruguay",NA,6089116,NA,NA,14.7,"175","25.8","[186]"
"Uzbekistan",NA,2630000,NA,NA,1.7,"7.7","0.13","[187]"
"Venezuela",NA,3179074,NA,NA,5,"11.0","0.55","[188]"
"Vietnam",NA,45772571,NA,NA,24.9,"46.4","11.6","[189]"
"Zambia",NA,3301860,NA,NA,9.5,"19.0","1.8","[190]"
"Zimbabwe",NA,2529087,NA,NA,10.2,"17.0","1.7","[3][191]"
".mw-parser-output .reflist{margin-bottom:0.5em;list-style-type:decimal}@media screen{.mw-parser-output .reflist{font-size:90%}}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman}
^ Local time.

^ For some countries it is unclear whether they report samples or cases. One person tested twice is recorded as one case and two samples.

^ Excluding Taiwan.

^ Excluding Northern Cyprus.

^ Excluding Greenland and the Faroe Islands.

^ Excluding Overseas France.

^ Testing data from 4 May to 12 May is missing because of the transition to the new reporting system SI-DEP.

^ Excluding Abkhazia and South Ossetia.

^ Data for residents only.

^ Excluding Transnistria.

^ Northern Cyprus is not recognized as a sovereign state by any country except Turkey.

^ Includes data for Liechtenstein.

^ Not a United Nations member.",NA,NA,NA,NA,NA,".mw-parser-output .reflist{margin-bottom:0.5em;list-style-type:decimal}@media screen{.mw-parser-output .reflist{font-size:90%}}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman}
^ Local time.

^ For some countries it is unclear whether they report samples or cases. One person tested twice is recorded as one case and two samples.

^ Excluding Taiwan.

^ Excluding Northern Cyprus.

^ Excluding Greenland and the Faroe Islands.

^ Excluding Overseas France.

^ Testing data from 4 May to 12 May is missing because of the transition to the new reporting system SI-DEP.

^ Excluding Abkhazia and South Ossetia.

^ Data for residents only.

^ Excluding Transnistria.

^ Northern Cyprus is not recognized as a sovereign state by any country except Turkey.

^ Includes data for Liechtenstein.

^ Not a United Nations member.",".mw-parser-output .reflist{margin-bottom:0.5em;list-style-type:decimal}@media screen{.mw-parser-output .reflist{font-size:90%}}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman}
^ Local time.

^ For some countries it is unclear whether they report samples or cases. One person tested twice is recorded as one case and two samples.

^ Excluding Taiwan.

^ Excluding Northern Cyprus.

^ Excluding Greenland and the Faroe Islands.

^ Excluding Overseas France.

^ Testing data from 4 May to 12 May is missing because of the transition to the new reporting system SI-DEP.

^ Excluding Abkhazia and South Ossetia.

^ Data for residents only.

^ Excluding Transnistria.

^ Northern Cyprus is not recognized as a sovereign state by any country except Turkey.

^ Includes data for Liechtenstein.

^ Not a United Nations member.",".mw-parser-output .reflist{margin-bottom:0.5em;list-style-type:decimal}@media screen{.mw-parser-output .reflist{font-size:90%}}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman}
^ Local time.

^ For some countries it is unclear whether they report samples or cases. One person tested twice is recorded as one case and two samples.

^ Excluding Taiwan.

^ Excluding Northern Cyprus.

^ Excluding Greenland and the Faroe Islands.

^ Excluding Overseas France.

^ Testing data from 4 May to 12 May is missing because of the transition to the new reporting system SI-DEP.

^ Excluding Abkhazia and South Ossetia.

^ Data for residents only.

^ Excluding Transnistria.

^ Northern Cyprus is not recognized as a sovereign state by any country except Turkey.

^ Includes data for Liechtenstein.

^ Not a United Nations member."
