forecast_dt,city,wind_speed
2025-10-29T12:00:00Z,Seoul,0.23
2025-10-29T15:00:00Z,Seoul,0.61
2025-10-29T18:00:00Z,Seoul,0.76
2025-10-29T21:00:00Z,Seoul,0.85
2025-10-30T00:00:00Z,Seoul,0.95
2025-10-30T03:00:00Z,Seoul,0.76
2025-10-30T06:00:00Z,Seoul,1.9
2025-10-30T09:00:00Z,Seoul,2.02
2025-10-30T12:00:00Z,Seoul,0.51
2025-10-30T15:00:00Z,Seoul,0.1
2025-10-30T18:00:00Z,Seoul,0.58
2025-10-30T21:00:00Z,Seoul,1.22
2025-10-31T00:00:00Z,Seoul,0.76
2025-10-31T03:00:00Z,Seoul,1.2
2025-10-31T06:00:00Z,Seoul,1.83
2025-10-31T09:00:00Z,Seoul,4.78
2025-10-31T12:00:00Z,Seoul,2.17
2025-10-31T15:00:00Z,Seoul,1.76
2025-10-31T18:00:00Z,Seoul,1.12
2025-10-31T21:00:00Z,Seoul,0.81
2025-11-01T00:00:00Z,Seoul,2.5
2025-11-01T03:00:00Z,Seoul,4.4
2025-11-01T06:00:00Z,Seoul,6.76
2025-11-01T09:00:00Z,Seoul,6.32
2025-11-01T12:00:00Z,Seoul,5.94
2025-11-01T15:00:00Z,Seoul,5.57
2025-11-01T18:00:00Z,Seoul,6.36
2025-11-01T21:00:00Z,Seoul,5.91
2025-11-02T00:00:00Z,Seoul,6.79
2025-11-02T03:00:00Z,Seoul,7.21
2025-11-02T06:00:00Z,Seoul,6.93
2025-11-02T09:00:00Z,Seoul,5.36
2025-11-02T12:00:00Z,Seoul,3.96
2025-11-02T15:00:00Z,Seoul,3.43
2025-11-02T18:00:00Z,Seoul,1.22
2025-11-02T21:00:00Z,Seoul,0.55
2025-11-03T00:00:00Z,Seoul,0.51
2025-11-03T03:00:00Z,Seoul,0.63
2025-11-03T06:00:00Z,Seoul,1.88
2025-11-03T09:00:00Z,Seoul,1.52
2025-10-29T12:00:00Z,Washington D.C.,2.96
2025-10-29T15:00:00Z,Washington D.C.,2.91
2025-10-29T18:00:00Z,Washington D.C.,4.31
2025-10-29T21:00:00Z,Washington D.C.,4.6
2025-10-30T00:00:00Z,Washington D.C.,5.29
2025-10-30T03:00:00Z,Washington D.C.,5.61
2025-10-30T06:00:00Z,Washington D.C.,6.79
2025-10-30T09:00:00Z,Washington D.C.,7.5
2025-10-30T12:00:00Z,Washington D.C.,7.41
2025-10-30T15:00:00Z,Washington D.C.,0.81
2025-10-30T18:00:00Z,Washington D.C.,1.9
2025-10-30T21:00:00Z,Washington D.C.,3.25
2025-10-31T00:00:00Z,Washington D.C.,3.28
2025-10-31T03:00:00Z,Washington D.C.,3.55
2025-10-31T06:00:00Z,Washington D.C.,3.86
2025-10-31T09:00:00Z,Washington D.C.,5.89
2025-10-31T12:00:00Z,Washington D.C.,6.61
2025-10-31T15:00:00Z,Washington D.C.,6.53
2025-10-31T18:00:00Z,Washington D.C.,6.92
2025-10-31T21:00:00Z,Washington D.C.,6.25
2025-11-01T00:00:00Z,Washington D.C.,5.53
2025-11-01T03:00:00Z,Washington D.C.,4.09
2025-11-01T06:00:00Z,Washington D.C.,3.66
2025-11-01T09:00:00Z,Washington D.C.,2.82
2025-11-01T12:00:00Z,Washington D.C.,2.87
2025-11-01T15:00:00Z,Washington D.C.,4.58
2025-11-01T18:00:00Z,Washington D.C.,4.77
2025-11-01T21:00:00Z,Washington D.C.,2.17
2025-11-02T00:00:00Z,Washington D.C.,0.98
2025-11-02T03:00:00Z,Washington D.C.,1.03
2025-11-02T06:00:00Z,Washington D.C.,1.08
2025-11-02T09:00:00Z,Washington D.C.,1.26
2025-11-02T12:00:00Z,Washington D.C.,1.21
2025-11-02T15:00:00Z,Washington D.C.,1
2025-11-02T18:00:00Z,Washington D.C.,1.03
2025-11-02T21:00:00Z,Washington D.C.,0.21
2025-11-03T00:00:00Z,Washington D.C.,1.51
2025-11-03T03:00:00Z,Washington D.C.,1.15
2025-11-03T06:00:00Z,Washington D.C.,0.91
2025-11-03T09:00:00Z,Washington D.C.,0.72
2025-10-29T12:00:00Z,Paris,2.56
2025-10-29T15:00:00Z,Paris,4.41
2025-10-29T18:00:00Z,Paris,3.19
2025-10-29T21:00:00Z,Paris,4.02
2025-10-30T00:00:00Z,Paris,4.48
2025-10-30T03:00:00Z,Paris,1.92
2025-10-30T06:00:00Z,Paris,2.22
2025-10-30T09:00:00Z,Paris,1.97
2025-10-30T12:00:00Z,Paris,3.2
2025-10-30T15:00:00Z,Paris,3.07
2025-10-30T18:00:00Z,Paris,3.21
2025-10-30T21:00:00Z,Paris,2.94
2025-10-31T00:00:00Z,Paris,3.15
2025-10-31T03:00:00Z,Paris,2.92
2025-10-31T06:00:00Z,Paris,3.01
2025-10-31T09:00:00Z,Paris,3.42
2025-10-31T12:00:00Z,Paris,2.9
2025-10-31T15:00:00Z,Paris,3.65
2025-10-31T18:00:00Z,Paris,2.84
2025-10-31T21:00:00Z,Paris,3.05
2025-11-01T00:00:00Z,Paris,4.03
2025-11-01T03:00:00Z,Paris,5.08
2025-11-01T06:00:00Z,Paris,5.64
2025-11-01T09:00:00Z,Paris,6.45
2025-11-01T12:00:00Z,Paris,6.43
2025-11-01T15:00:00Z,Paris,5.71
2025-11-01T18:00:00Z,Paris,4.47
2025-11-01T21:00:00Z,Paris,4.93
2025-11-02T00:00:00Z,Paris,4.44
2025-11-02T03:00:00Z,Paris,5.04
2025-11-02T06:00:00Z,Paris,4.39
2025-11-02T09:00:00Z,Paris,4.57
2025-11-02T12:00:00Z,Paris,4.66
2025-11-02T15:00:00Z,Paris,4.05
2025-11-02T18:00:00Z,Paris,2.97
2025-11-02T21:00:00Z,Paris,2.83
2025-11-03T00:00:00Z,Paris,2.89
2025-11-03T03:00:00Z,Paris,2.96
2025-11-03T06:00:00Z,Paris,2.68
2025-11-03T09:00:00Z,Paris,2.99
2025-10-29T12:00:00Z,Toronto,3.62
2025-10-29T15:00:00Z,Toronto,3.4
2025-10-29T18:00:00Z,Toronto,3.62
2025-10-29T21:00:00Z,Toronto,3.45
2025-10-30T00:00:00Z,Toronto,2.83
2025-10-30T03:00:00Z,Toronto,2.95
2025-10-30T06:00:00Z,Toronto,3.32
2025-10-30T09:00:00Z,Toronto,4.06
2025-10-30T12:00:00Z,Toronto,4.13
2025-10-30T15:00:00Z,Toronto,4.96
2025-10-30T18:00:00Z,Toronto,6
2025-10-30T21:00:00Z,Toronto,5.75
2025-10-31T00:00:00Z,Toronto,5.34
2025-10-31T03:00:00Z,Toronto,4.81
2025-10-31T06:00:00Z,Toronto,5.51
2025-10-31T09:00:00Z,Toronto,5.28
2025-10-31T12:00:00Z,Toronto,5.59
2025-10-31T15:00:00Z,Toronto,6.46
2025-10-31T18:00:00Z,Toronto,6.65
2025-10-31T21:00:00Z,Toronto,6.59
2025-11-01T00:00:00Z,Toronto,5.59
2025-11-01T03:00:00Z,Toronto,4.27
2025-11-01T06:00:00Z,Toronto,3.71
2025-11-01T09:00:00Z,Toronto,2.85
2025-11-01T12:00:00Z,Toronto,2.2
2025-11-01T15:00:00Z,Toronto,2.87
2025-11-01T18:00:00Z,Toronto,2.98
2025-11-01T21:00:00Z,Toronto,3.26
2025-11-02T00:00:00Z,Toronto,2.74
2025-11-02T03:00:00Z,Toronto,2.18
2025-11-02T06:00:00Z,Toronto,1.76
2025-11-02T09:00:00Z,Toronto,1.7
2025-11-02T12:00:00Z,Toronto,1.14
2025-11-02T15:00:00Z,Toronto,0.63
2025-11-02T18:00:00Z,Toronto,1.04
2025-11-02T21:00:00Z,Toronto,2.8
2025-11-03T00:00:00Z,Toronto,1.33
2025-11-03T03:00:00Z,Toronto,1.66
2025-11-03T06:00:00Z,Toronto,1.73
2025-11-03T09:00:00Z,Toronto,1.52
