city,forecast_dt,weather_main,weather_desc,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds
Seoul,2025-10-29T12:00:00Z,Clear,clear sky,13.78,13.78,13.83,1027,61,0.23,5,1
Seoul,2025-10-29T15:00:00Z,Clear,clear sky,13.02,12.65,13.02,1027,59,0.61,81,1
Seoul,2025-10-29T18:00:00Z,Clear,clear sky,11.74,11.74,11.74,1028,57,0.76,76,10
Seoul,2025-10-29T21:00:00Z,Clouds,broken clouds,10.99,10.99,10.99,1027,59,0.85,124,59
Seoul,2025-10-30T00:00:00Z,Clouds,broken clouds,12.28,12.28,12.28,1028,53,0.95,141,79
Seoul,2025-10-30T03:00:00Z,Clouds,overcast clouds,15.75,15.75,15.75,1027,39,0.76,199,100
Seoul,2025-10-30T06:00:00Z,Clouds,overcast clouds,17.32,17.32,17.32,1024,39,1.9,271,99
Seoul,2025-10-30T09:00:00Z,Clouds,overcast clouds,15.7,15.7,15.7,1025,55,2.02,274,100
Seoul,2025-10-30T12:00:00Z,Clouds,overcast clouds,14.69,14.69,14.69,1025,62,0.51,225,89
Seoul,2025-10-30T15:00:00Z,Clouds,overcast clouds,14.31,14.31,14.31,1025,62,0.1,163,100
Seoul,2025-10-30T18:00:00Z,Clouds,overcast clouds,13.89,13.89,13.89,1024,64,0.58,73,100
Seoul,2025-10-30T21:00:00Z,Clouds,overcast clouds,13.01,13.01,13.01,1022,67,1.22,32,100
Seoul,2025-10-31T00:00:00Z,Clouds,overcast clouds,14.17,14.17,14.17,1022,59,0.76,65,98
Seoul,2025-10-31T03:00:00Z,Clouds,broken clouds,17.79,17.79,17.79,1020,48,1.2,11,75
Seoul,2025-10-31T06:00:00Z,Clouds,overcast clouds,18.79,18.79,18.79,1018,43,1.83,261,88
Seoul,2025-10-31T09:00:00Z,Rain,light rain,14.84,14.84,14.84,1018,69,4.78,313,99
Seoul,2025-10-31T12:00:00Z,Rain,light rain,13.38,13.38,13.38,1017,73,2.17,359,100
Seoul,2025-10-31T15:00:00Z,Clouds,overcast clouds,13.9,13.9,13.9,1016,64,1.76,268,100
Seoul,2025-10-31T18:00:00Z,Clouds,overcast clouds,12.97,12.97,12.97,1014,75,1.12,319,89
Seoul,2025-10-31T21:00:00Z,Rain,light rain,12.26,12.26,12.26,1013,80,0.81,318,52
Seoul,2025-11-01T00:00:00Z,Clouds,scattered clouds,12.55,12.55,12.55,1014,75,2.5,315,35
Seoul,2025-11-01T03:00:00Z,Clouds,few clouds,15.47,15.47,15.47,1013,39,4.4,289,16
Seoul,2025-11-01T06:00:00Z,Clouds,few clouds,15.67,15.67,15.67,1011,47,6.76,265,11
Seoul,2025-11-01T09:00:00Z,Clear,clear sky,14.25,14.25,14.25,1011,42,6.32,282,4
Seoul,2025-11-01T12:00:00Z,Clear,clear sky,12.93,12.93,12.93,1013,45,5.94,284,4
Seoul,2025-11-01T15:00:00Z,Clouds,few clouds,11.23,11.23,11.23,1013,46,5.57,293,13
Seoul,2025-11-01T18:00:00Z,Clear,clear sky,9.09,9.09,9.09,1015,34,6.36,305,10
Seoul,2025-11-01T21:00:00Z,Clear,clear sky,6.89,6.89,6.89,1017,33,5.91,305,1
Seoul,2025-11-02T00:00:00Z,Clear,clear sky,6.34,6.34,6.34,1019,34,6.79,298,0
Seoul,2025-11-02T03:00:00Z,Clear,clear sky,8.52,8.52,8.52,1019,36,7.21,294,0
Seoul,2025-11-02T06:00:00Z,Clear,clear sky,9.61,9.61,9.61,1019,38,6.93,299,2
Seoul,2025-11-02T09:00:00Z,Clear,clear sky,7.96,7.96,7.96,1021,46,5.36,306,5
Seoul,2025-11-02T12:00:00Z,Clear,clear sky,6.96,6.96,6.96,1023,45,3.96,308,3
Seoul,2025-11-02T15:00:00Z,Clear,clear sky,5.88,5.88,5.88,1025,43,3.43,295,0
Seoul,2025-11-02T18:00:00Z,Clear,clear sky,5.27,5.27,5.27,1026,45,1.22,301,0
Seoul,2025-11-02T21:00:00Z,Clear,clear sky,5.17,5.17,5.17,1027,45,0.55,318,0
Seoul,2025-11-03T00:00:00Z,Clear,clear sky,6.35,6.35,6.35,1028,41,0.51,63,0
Seoul,2025-11-03T03:00:00Z,Clear,clear sky,10.12,10.12,10.12,1028,28,0.63,250,0
Seoul,2025-11-03T06:00:00Z,Clear,clear sky,11.9,11.9,11.9,1027,22,1.88,277,0
Seoul,2025-11-03T09:00:00Z,Clear,clear sky,11.18,11.18,11.18,1027,24,1.52,291,0
Washington D.C.,2025-10-29T12:00:00Z,Clouds,overcast clouds,9.04,8.29,9.04,1018,73,2.96,52,96
Washington D.C.,2025-10-29T15:00:00Z,Clouds,overcast clouds,9.62,9.62,9.73,1019,73,2.91,54,100
Washington D.C.,2025-10-29T18:00:00Z,Clouds,overcast clouds,12.9,12.9,12.9,1017,63,4.31,75,100
Washington D.C.,2025-10-29T21:00:00Z,Clouds,overcast clouds,13.02,13.02,13.02,1016,68,4.6,81,100
Washington D.C.,2025-10-30T00:00:00Z,Rain,light rain,11.33,11.33,11.33,1015,78,5.29,82,100
Washington D.C.,2025-10-30T03:00:00Z,Rain,light rain,12.73,12.73,12.73,1012,91,5.61,73,100
Washington D.C.,2025-10-30T06:00:00Z,Rain,moderate rain,13.14,13.14,13.14,1009,94,6.79,90,100
Washington D.C.,2025-10-30T09:00:00Z,Rain,moderate rain,14.18,14.18,14.18,1005,95,7.5,99,100
Washington D.C.,2025-10-30T12:00:00Z,Rain,moderate rain,16.98,16.98,16.98,1001,96,7.41,122,100
Washington D.C.,2025-10-30T15:00:00Z,Rain,heavy intensity rain,15.8,15.8,15.8,1001,98,0.81,202,100
Washington D.C.,2025-10-30T18:00:00Z,Rain,light rain,16.66,16.66,16.66,998,94,1.9,219,100
Washington D.C.,2025-10-30T21:00:00Z,Rain,light rain,16.54,16.54,16.54,998,76,3.25,245,75
Washington D.C.,2025-10-31T00:00:00Z,Rain,light rain,12.9,12.9,12.9,999,83,3.28,302,42
Washington D.C.,2025-10-31T03:00:00Z,Clouds,broken clouds,12.03,12.03,12.03,999,71,3.55,268,62
Washington D.C.,2025-10-31T06:00:00Z,Clouds,scattered clouds,10.19,10.19,10.19,999,76,3.86,252,39
Washington D.C.,2025-10-31T09:00:00Z,Clouds,overcast clouds,12.07,12.07,12.07,999,68,5.89,271,100
Washington D.C.,2025-10-31T12:00:00Z,Clouds,overcast clouds,11.33,11.33,11.33,1001,62,6.61,278,91
Washington D.C.,2025-10-31T15:00:00Z,Clouds,overcast clouds,11.31,11.31,11.31,1004,64,6.53,271,92
Washington D.C.,2025-10-31T18:00:00Z,Clouds,broken clouds,15.26,15.26,15.26,1005,41,6.92,278,75
Washington D.C.,2025-10-31T21:00:00Z,Clear,clear sky,14.32,14.32,14.32,1007,45,6.25,279,4
Washington D.C.,2025-11-01T00:00:00Z,Clear,clear sky,12.07,12.07,12.07,1010,58,5.53,276,4
Washington D.C.,2025-11-01T03:00:00Z,Clear,clear sky,10.9,10.9,10.9,1013,60,4.09,284,5
Washington D.C.,2025-11-01T06:00:00Z,Clear,clear sky,9.84,9.84,9.84,1014,66,3.66,268,3
Washington D.C.,2025-11-01T09:00:00Z,Clear,clear sky,8.36,8.36,8.36,1016,67,2.82,255,5
Washington D.C.,2025-11-01T12:00:00Z,Clear,clear sky,8.06,8.06,8.06,1018,65,2.87,271,6
Washington D.C.,2025-11-01T15:00:00Z,Clear,clear sky,13.37,13.37,13.37,1019,48,4.58,293,0
Washington D.C.,2025-11-01T18:00:00Z,Clear,clear sky,16.14,16.14,16.14,1019,37,4.77,301,0
Washington D.C.,2025-11-01T21:00:00Z,Clouds,few clouds,16.16,16.16,16.16,1019,40,2.17,304,13
Washington D.C.,2025-11-02T00:00:00Z,Clouds,few clouds,12.46,12.46,12.46,1021,53,0.98,268,23
Washington D.C.,2025-11-02T03:00:00Z,Clouds,overcast clouds,11.06,11.06,11.06,1023,58,1.03,267,93
Washington D.C.,2025-11-02T06:00:00Z,Clouds,overcast clouds,10.29,10.29,10.29,1024,61,1.08,293,95
Washington D.C.,2025-11-02T09:00:00Z,Clouds,overcast clouds,9.96,9.96,9.96,1025,64,1.26,297,100
Washington D.C.,2025-11-02T12:00:00Z,Clouds,overcast clouds,9.9,9.9,9.9,1027,65,1.21,332,98
Washington D.C.,2025-11-02T15:00:00Z,Clouds,overcast clouds,14.27,14.27,14.27,1028,48,1,344,100
Washington D.C.,2025-11-02T18:00:00Z,Clouds,overcast clouds,17.69,17.69,17.69,1027,35,1.03,319,93
Washington D.C.,2025-11-02T21:00:00Z,Clouds,few clouds,17.12,17.12,17.12,1027,38,0.21,281,13
Washington D.C.,2025-11-03T00:00:00Z,Clouds,scattered clouds,13.33,13.33,13.33,1028,52,1.51,74,30
Washington D.C.,2025-11-03T03:00:00Z,Clouds,scattered clouds,11.8,11.8,11.8,1029,60,1.15,94,39
Washington D.C.,2025-11-03T06:00:00Z,Clouds,scattered clouds,10.55,10.55,10.55,1030,65,0.91,126,33
Washington D.C.,2025-11-03T09:00:00Z,Clouds,scattered clouds,9.65,9.65,9.65,1029,67,0.72,57,38
Paris,2025-10-29T12:00:00Z,Clouds,scattered clouds,12.97,12.97,13.39,1004,81,2.56,176,33
Paris,2025-10-29T15:00:00Z,Rain,light rain,13.55,13.55,13.94,1003,72,4.41,205,67
Paris,2025-10-29T18:00:00Z,Rain,moderate rain,11.91,11.91,11.91,1001,90,3.19,222,100
Paris,2025-10-29T21:00:00Z,Rain,light rain,11.59,11.59,11.59,1002,87,4.02,254,100
Paris,2025-10-30T00:00:00Z,Clouds,overcast clouds,11.06,11.06,11.06,1005,81,4.48,279,96
Paris,2025-10-30T03:00:00Z,Rain,light rain,11.78,11.78,11.78,1008,82,1.92,295,94
Paris,2025-10-30T06:00:00Z,Clouds,overcast clouds,10.45,10.45,10.45,1010,80,2.22,255,88
Paris,2025-10-30T09:00:00Z,Clouds,broken clouds,11.47,11.47,11.47,1013,61,1.97,215,79
Paris,2025-10-30T12:00:00Z,Clouds,broken clouds,14.25,14.25,14.25,1012,48,3.2,203,54
Paris,2025-10-30T15:00:00Z,Clouds,overcast clouds,15.17,15.17,15.17,1011,52,3.07,194,90
Paris,2025-10-30T18:00:00Z,Clouds,overcast clouds,13.83,13.83,13.83,1011,62,3.21,175,95
Paris,2025-10-30T21:00:00Z,Clouds,overcast clouds,12.65,12.65,12.65,1011,71,2.94,165,100
Paris,2025-10-31T00:00:00Z,Clouds,overcast clouds,12,12,12,1011,78,3.15,168,100
Paris,2025-10-31T03:00:00Z,Clouds,overcast clouds,11.84,11.84,11.84,1010,82,2.92,177,100
Paris,2025-10-31T06:00:00Z,Clouds,overcast clouds,12.16,12.16,12.16,1011,82,3.01,180,100
Paris,2025-10-31T09:00:00Z,Clouds,overcast clouds,13.81,13.81,13.81,1011,73,3.42,190,100
Paris,2025-10-31T12:00:00Z,Clouds,overcast clouds,15.39,15.39,15.39,1011,69,2.9,191,100
Paris,2025-10-31T15:00:00Z,Clouds,overcast clouds,16.84,16.84,16.84,1011,64,3.65,176,100
Paris,2025-10-31T18:00:00Z,Clouds,overcast clouds,15.91,15.91,15.91,1011,66,2.84,178,97
Paris,2025-10-31T21:00:00Z,Rain,light rain,15.75,15.75,15.75,1011,76,3.05,184,100
Paris,2025-11-01T00:00:00Z,Rain,light rain,14.7,14.7,14.7,1010,90,4.03,170,100
Paris,2025-11-01T03:00:00Z,Rain,light rain,15.19,15.19,15.19,1008,82,5.08,178,100
Paris,2025-11-01T06:00:00Z,Clouds,overcast clouds,15.42,15.42,15.42,1008,78,5.64,182,100
Paris,2025-11-01T09:00:00Z,Clouds,overcast clouds,16.7,16.7,16.7,1008,72,6.45,201,100
Paris,2025-11-01T12:00:00Z,Rain,moderate rain,15.25,15.25,15.25,1008,86,6.43,233,100
Paris,2025-11-01T15:00:00Z,Rain,moderate rain,14.64,14.64,14.64,1012,75,5.71,226,100
Paris,2025-11-01T18:00:00Z,Clouds,overcast clouds,13.66,13.66,13.66,1015,72,4.47,216,85
Paris,2025-11-01T21:00:00Z,Clouds,overcast clouds,12.83,12.83,12.83,1016,73,4.93,214,96
Paris,2025-11-02T00:00:00Z,Clouds,overcast clouds,12.18,12.18,12.18,1015,79,4.44,213,95
Paris,2025-11-02T03:00:00Z,Clouds,overcast clouds,11.74,11.74,11.74,1013,81,5.04,207,100
Paris,2025-11-02T06:00:00Z,Clouds,overcast clouds,11.6,11.6,11.6,1013,82,4.39,205,100
Paris,2025-11-02T09:00:00Z,Rain,light rain,12.83,12.83,12.83,1012,77,4.57,229,100
Paris,2025-11-02T12:00:00Z,Rain,light rain,13.33,13.33,13.33,1012,70,4.66,244,99
Paris,2025-11-02T15:00:00Z,Rain,light rain,13.5,13.5,13.5,1013,65,4.05,285,94
Paris,2025-11-02T18:00:00Z,Clouds,broken clouds,12.07,12.07,12.07,1016,64,2.97,277,57
Paris,2025-11-02T21:00:00Z,Clear,clear sky,10.76,10.76,10.76,1018,69,2.83,255,6
Paris,2025-11-03T00:00:00Z,Clear,clear sky,9.94,9.94,9.94,1019,70,2.89,249,4
Paris,2025-11-03T03:00:00Z,Clear,clear sky,9.33,9.33,9.33,1020,76,2.96,247,2
Paris,2025-11-03T06:00:00Z,Clouds,few clouds,8.74,8.74,8.74,1021,74,2.68,239,11
Paris,2025-11-03T09:00:00Z,Clouds,broken clouds,10.01,10.01,10.01,1023,68,2.99,241,52
Suzhou,2025-10-29T12:00:00Z,Clouds,overcast clouds,19.47,18.25,19.47,1023,52,4.4,106,92
Suzhou,2025-10-29T15:00:00Z,Clouds,overcast clouds,18.75,18.09,18.75,1023,58,4.11,118,97
Suzhou,2025-10-29T18:00:00Z,Clouds,overcast clouds,17.69,17.69,17.69,1023,68,3.33,112,100
Suzhou,2025-10-29T21:00:00Z,Clouds,overcast clouds,17.24,17.24,17.24,1022,73,3.05,109,100
Suzhou,2025-10-30T00:00:00Z,Clouds,overcast clouds,19.51,19.51,19.51,1023,64,3.88,100,93
Suzhou,2025-10-30T03:00:00Z,Clouds,overcast clouds,22.14,22.14,22.14,1022,56,4.6,122,100
Suzhou,2025-10-30T06:00:00Z,Rain,light rain,19.84,19.84,19.84,1020,71,4.9,171,100
Suzhou,2025-10-30T09:00:00Z,Rain,light rain,18.49,18.49,18.49,1021,75,2.94,162,100
Suzhou,2025-10-30T12:00:00Z,Rain,light rain,18.01,18.01,18.01,1022,76,1.15,151,100
Suzhou,2025-10-30T15:00:00Z,Rain,light rain,17.45,17.45,17.45,1022,82,1.67,190,99
Suzhou,2025-10-30T18:00:00Z,Clouds,overcast clouds,16.78,16.78,16.78,1021,85,0.92,172,100
Suzhou,2025-10-30T21:00:00Z,Clouds,overcast clouds,16.64,16.64,16.64,1021,84,0.55,311,100
Suzhou,2025-10-31T00:00:00Z,Clouds,broken clouds,18.03,18.03,18.03,1022,77,1.42,318,54
Suzhou,2025-10-31T03:00:00Z,Clear,clear sky,21.72,21.72,21.72,1021,57,2.5,313,9
Suzhou,2025-10-31T06:00:00Z,Clouds,broken clouds,22.08,22.08,22.08,1019,53,3.85,284,53
Suzhou,2025-10-31T09:00:00Z,Clouds,overcast clouds,20.56,20.56,20.56,1019,58,2.71,267,100
Suzhou,2025-10-31T12:00:00Z,Clouds,overcast clouds,20.27,20.27,20.27,1020,62,3.26,282,100
Suzhou,2025-10-31T15:00:00Z,Rain,light rain,19.67,19.67,19.67,1021,66,3.38,296,100
